date,day_of_week,route_id,hour,weather,is_holiday,traffic_level,capacity,current_buses,passenger_count
2025-09-17,Wednesday,4,21,Rainy,0,Low,350,4,235
2025-04-28,Monday,5,15,Cloudy,0,Low,300,5,175
2025-07-24,Thursday,1,17,Cloudy,1,High,500,10,433
2025-06-14,Saturday,1,6,Sunny,0,Medium,500,6,382
2025-03-11,Tuesday,5,9,Sunny,0,High,300,4,318
2025-05-11,Sunday,1,5,Sunny,0,Low,500,10,207
2025-03-27,Thursday,1,19,Rainy,1,High,500,10,487
2025-10-19,Sunday,2,18,Rainy,0,High,450,6,423
2025-05-19,Monday,5,15,Cloudy,0,Low,300,5,142
2025-05-12,Monday,1,15,Sunny,0,Low,500,8,295
2025-07-21,Monday,4,20,Cloudy,0,Medium,350,4,164
2025-04-27,Sunday,3,13,Cloudy,0,Low,400,8,374
2025-09-01,Monday,1,6,Sunny,0,Medium,500,6,476
2025-02-20,Thursday,4,17,Rainy,0,High,350,5,430
2025-07-14,Monday,4,12,Cloudy,0,Low,350,5,204
2025-02-21,Friday,1,6,Cloudy,1,Medium,500,10,354
2025-10-13,Monday,4,8,Cloudy,0,High,350,4,333
2025-08-17,Sunday,1,16,Rainy,0,Medium,500,8,474
2025-06-06,Friday,3,13,Cloudy,0,Low,400,7,195
2025-03-25,Tuesday,5,13,Sunny,0,Low,300,4,172
2025-04-20,Sunday,2,22,Rainy,0,Low,450,9,238
2025-07-15,Tuesday,2,19,Cloudy,0,High,450,5,621
2025-02-09,Sunday,1,6,Cloudy,0,Medium,500,10,429
2025-12-07,Sunday,1,22,Rainy,0,Low,500,7,262
2025-10-16,Thursday,2,9,Rainy,0,High,450,7,460
2025-01-31,Friday,2,9,Cloudy,0,High,450,7,435
2025-10-07,Tuesday,1,20,Cloudy,0,Medium,500,10,310
2025-10-09,Thursday,4,19,Sunny,0,High,350,7,401
2025-09-22,Monday,4,7,Rainy,0,High,350,7,417
2025-11-16,Sunday,4,20,Cloudy,0,Medium,350,7,129
2025-09-17,Wednesday,2,17,Rainy,0,High,450,5,505
2025-06-04,Wednesday,5,22,Cloudy,0,Low,300,6,154
2025-05-09,Friday,1,17,Rainy,0,High,500,9,537
2025-06-13,Friday,1,16,Rainy,0,Medium,500,6,530
2025-09-16,Tuesday,3,10,Sunny,0,Medium,400,6,242
2025-10-12,Sunday,2,7,Rainy,0,High,450,9,372
2025-02-16,Sunday,3,7,Cloudy,0,High,400,7,343
2025-11-04,Tuesday,3,7,Sunny,0,High,400,8,391
2025-11-19,Wednesday,5,11,Sunny,0,Low,300,5,250
2025-07-19,Saturday,1,6,Rainy,0,Medium,500,10,466
2025-01-30,Thursday,4,19,Rainy,0,High,350,7,422
2025-02-10,Monday,5,18,Sunny,0,High,300,5,371
2025-10-08,Wednesday,5,21,Sunny,0,Low,300,5,146
2025-03-30,Sunday,3,6,Sunny,0,Medium,400,7,318
2025-05-30,Friday,5,13,Sunny,0,Low,300,5,175
2025-08-26,Tuesday,1,8,Cloudy,0,High,500,8,507
2025-09-12,Friday,4,8,Cloudy,0,High,350,7,367
2025-05-01,Thursday,2,20,Cloudy,0,Medium,450,7,252
2025-03-08,Saturday,4,15,Cloudy,0,Low,350,5,101
2025-01-12,Sunday,1,11,Sunny,0,Low,500,8,245
2025-05-04,Sunday,4,21,Sunny,0,Low,350,6,120
2025-03-03,Monday,5,20,Sunny,0,Medium,300,4,136
2025-03-04,Tuesday,1,10,Cloudy,0,Medium,500,8,288
2025-07-28,Monday,2,5,Sunny,0,Low,450,7,276
2025-11-08,Saturday,1,7,Cloudy,0,High,500,6,424
2025-05-17,Saturday,3,5,Sunny,0,Low,400,6,148
2025-08-06,Wednesday,2,20,Sunny,0,Medium,450,5,242
2025-06-21,Saturday,1,13,Sunny,0,Low,500,8,203
2025-06-16,Monday,3,11,Rainy,0,Low,400,5,236
2025-06-17,Tuesday,4,18,Cloudy,0,High,350,5,402
2025-12-16,Tuesday,2,21,Sunny,0,Low,450,8,275
2025-06-21,Saturday,1,17,Sunny,0,High,500,8,448
2025-10-14,Tuesday,2,13,Sunny,0,Low,450,5,265
2025-12-20,Saturday,1,10,Rainy,0,Medium,500,7,266
2025-11-08,Saturday,1,17,Cloudy,0,High,500,9,466
2025-03-15,Saturday,3,11,Sunny,0,Low,400,5,134
2025-12-02,Tuesday,5,13,Rainy,0,Low,300,4,201
2025-09-13,Saturday,5,20,Cloudy,0,Medium,300,5,94
2025-07-30,Wednesday,4,7,Cloudy,0,High,350,7,374
2025-01-24,Friday,2,12,Sunny,0,Low,450,6,271
2025-02-19,Wednesday,3,14,Cloudy,1,Low,400,7,139
2025-06-14,Saturday,3,18,Cloudy,0,High,400,6,381
2025-09-22,Monday,4,8,Rainy,0,High,350,5,428
2025-08-11,Monday,1,7,Cloudy,0,High,500,9,494
2025-01-09,Thursday,4,21,Cloudy,0,Low,350,6,171
2025-12-05,Friday,3,13,Sunny,0,Low,400,8,201
2025-01-17,Friday,1,6,Sunny,0,Medium,500,9,468
2025-10-09,Thursday,3,21,Rainy,0,Low,400,5,235
2025-11-19,Wednesday,3,7,Sunny,0,High,400,7,405
2025-09-17,Wednesday,5,22,Sunny,0,Low,300,3,362
2025-02-04,Tuesday,5,21,Cloudy,0,Low,300,5,132
2025-10-19,Sunday,1,18,Rainy,0,High,500,10,507
2025-10-27,Monday,2,14,Sunny,0,Low,450,8,273
2025-08-08,Friday,3,8,Sunny,1,High,400,6,288
2025-01-06,Monday,5,13,Cloudy,0,Low,300,4,349
2025-06-19,Thursday,3,20,Cloudy,0,Medium,400,8,199
2025-10-31,Friday,5,9,Cloudy,0,High,300,4,484
2025-05-02,Friday,2,5,Cloudy,0,Low,450,8,225
2025-03-03,Monday,1,14,Rainy,0,Low,500,10,336
2025-03-11,Tuesday,5,7,Rainy,0,High,300,3,389
2025-06-06,Friday,4,5,Cloudy,0,Low,350,6,199
2025-01-22,Wednesday,4,16,Cloudy,0,Medium,350,4,379
2025-02-04,Tuesday,2,21,Cloudy,0,Low,450,7,267
2025-02-24,Monday,3,15,Rainy,0,Low,400,8,266
2025-02-10,Monday,2,19,Sunny,0,High,450,5,482
2025-08-25,Monday,5,13,Rainy,0,Low,300,4,174
2025-05-30,Friday,3,5,Sunny,0,Low,400,7,209
2025-05-20,Tuesday,5,14,Sunny,0,Low,300,6,122
2025-03-25,Tuesday,4,8,Cloudy,0,High,350,4,379
2025-07-09,Wednesday,5,17,Sunny,0,High,300,5,395
2025-11-05,Wednesday,3,10,Rainy,0,Medium,400,8,274
2025-03-15,Saturday,3,16,Cloudy,0,Medium,400,5,368
2025-04-14,Monday,5,7,Rainy,0,High,300,3,376
2025-09-25,Thursday,1,14,Sunny,0,Low,500,7,316
2025-04-06,Sunday,4,5,Sunny,0,Low,350,7,117
2025-03-04,Tuesday,2,18,Cloudy,0,High,450,5,476
2025-06-20,Friday,2,12,Rainy,0,Low,450,8,319
2025-12-24,Wednesday,1,9,Sunny,0,High,500,9,496
2025-11-21,Friday,1,7,Sunny,0,High,500,9,473
2025-07-15,Tuesday,3,22,Rainy,0,Low,400,6,236
2025-03-17,Monday,2,17,Sunny,0,High,450,6,463
2025-06-28,Saturday,2,10,Rainy,0,Medium,450,6,221
2025-02-15,Saturday,4,16,Rainy,0,Medium,350,6,352
2025-09-13,Saturday,3,13,Rainy,0,Low,400,7,192
2025-01-08,Wednesday,5,18,Sunny,0,High,300,4,374
2025-08-31,Sunday,3,8,Sunny,0,High,400,5,324
2025-06-04,Wednesday,4,11,Sunny,0,Low,350,5,163
2025-04-29,Tuesday,1,6,Cloudy,0,Medium,500,6,497
2025-05-20,Tuesday,1,12,Cloudy,0,Low,500,8,302
2025-10-20,Monday,3,9,Cloudy,0,High,400,6,398
2025-01-31,Friday,1,21,Sunny,0,Low,500,9,282
2025-10-03,Friday,3,19,Sunny,0,High,400,7,436
2025-08-06,Wednesday,1,13,Rainy,0,Low,500,10,317
2025-01-21,Tuesday,4,14,Cloudy,0,Low,350,7,181
2025-02-24,Monday,3,6,Cloudy,1,Medium,400,5,281
2025-06-22,Sunday,1,11,Cloudy,0,Low,500,6,195
2025-08-23,Saturday,2,15,Sunny,0,Low,450,9,147
2025-02-19,Wednesday,2,7,Rainy,0,High,450,5,482
2025-03-25,Tuesday,5,13,Rainy,0,Low,300,6,174
2025-04-18,Friday,2,14,Cloudy,0,Low,450,9,234
2025-01-18,Saturday,1,5,Sunny,0,Low,500,9,202
2025-06-16,Monday,2,22,Sunny,0,Low,450,5,235
2025-01-27,Monday,5,21,Sunny,0,Low,300,5,120
2025-04-17,Thursday,4,15,Sunny,0,Low,350,7,179
2025-11-11,Tuesday,3,7,Sunny,0,High,400,6,430
2025-01-04,Saturday,1,5,Cloudy,0,Low,500,9,191
2025-01-06,Monday,4,13,Rainy,0,Low,350,7,247
2025-09-26,Friday,1,21,Rainy,0,Low,500,8,362
2025-11-14,Friday,5,21,Rainy,0,Low,300,6,180
2025-08-30,Saturday,5,16,Rainy,0,Medium,300,3,301
2025-03-22,Saturday,5,16,Sunny,0,Medium,300,5,318
2025-02-14,Friday,3,9,Cloudy,0,High,400,8,410
2025-09-26,Friday,5,8,Sunny,0,High,300,4,308
2025-06-07,Saturday,5,15,Sunny,0,Low,300,6,78
2025-06-10,Tuesday,4,15,Sunny,0,Low,350,6,182
2025-11-26,Wednesday,5,11,Sunny,0,Low,300,6,164
2025-08-21,Thursday,3,8,Sunny,0,High,400,5,396
2025-12-18,Thursday,2,17,Sunny,0,High,450,9,480
2025-08-01,Friday,3,19,Rainy,0,High,400,7,477
2025-11-17,Monday,2,10,Rainy,0,Medium,450,6,278
2025-03-21,Friday,4,17,Rainy,0,High,350,6,440
2025-06-22,Sunday,1,7,Cloudy,0,High,500,7,398
2025-04-13,Sunday,1,5,Rainy,0,Low,500,10,247
2025-09-28,Sunday,2,8,Sunny,0,High,450,9,368
2025-12-20,Saturday,2,18,Rainy,0,High,450,9,413
2025-04-16,Wednesday,5,19,Sunny,0,High,300,3,381
2025-05-29,Thursday,5,8,Rainy,0,High,300,5,357
2025-01-06,Monday,2,9,Rainy,0,High,450,7,452
2025-04-07,Monday,5,9,Rainy,0,High,300,3,364
2025-04-07,Monday,4,19,Rainy,0,High,350,6,446
2025-01-03,Friday,2,20,Rainy,0,Medium,450,6,298
2025-08-02,Saturday,4,10,Rainy,0,Medium,350,4,124
2025-12-30,Tuesday,1,11,Cloudy,0,Low,500,6,308
2025-06-06,Friday,4,18,Sunny,1,High,350,5,281
2025-02-01,Saturday,3,9,Cloudy,0,High,400,6,297
2025-12-01,Monday,1,18,Sunny,0,High,500,8,512
2025-07-22,Tuesday,1,19,Cloudy,0,High,500,8,510
2025-08-03,Sunday,5,12,Sunny,0,Low,300,4,45
2025-11-12,Wednesday,1,7,Sunny,0,High,500,8,471
2025-02-10,Monday,5,14,Rainy,0,Low,300,3,188
2025-12-10,Wednesday,1,22,Sunny,1,Low,500,6,202
2025-09-16,Tuesday,4,17,Cloudy,0,High,350,6,397
2025-12-20,Saturday,1,6,Rainy,0,Medium,500,9,428
2025-11-27,Thursday,3,17,Sunny,0,High,400,7,460
2025-12-12,Friday,4,5,Rainy,0,Low,350,4,216
2025-03-01,Saturday,2,17,Cloudy,0,High,450,5,393
2025-05-30,Friday,2,14,Rainy,0,Low,450,7,266
2025-03-24,Monday,3,14,Rainy,0,Low,400,8,252
2025-02-12,Wednesday,5,6,Cloudy,1,Medium,300,4,260
2025-07-08,Tuesday,3,15,Cloudy,0,Low,400,7,231
2025-09-23,Tuesday,1,22,Cloudy,0,Low,500,8,313
2025-12-14,Sunday,1,22,Sunny,0,Low,500,8,219
2025-02-23,Sunday,2,19,Cloudy,0,High,450,5,396
2025-11-02,Sunday,5,21,Sunny,0,Low,300,6,75
2025-11-13,Thursday,3,11,Sunny,0,Low,400,6,209
2025-11-29,Saturday,1,19,Sunny,0,High,500,8,466
2025-04-26,Saturday,3,15,Cloudy,1,Low,400,5,33
2025-10-19,Sunday,1,19,Rainy,0,High,500,10,474
2025-09-18,Thursday,5,17,Cloudy,0,High,300,3,642
2025-08-12,Tuesday,5,12,Sunny,0,Low,300,3,279
2025-03-13,Thursday,3,19,Sunny,0,High,400,8,433
2025-02-19,Wednesday,2,17,Sunny,0,High,450,7,457
2025-07-14,Monday,1,19,Sunny,0,High,500,6,492
2025-01-25,Saturday,2,19,Sunny,0,High,450,5,385
2025-11-26,Wednesday,1,22,Cloudy,0,Low,500,6,272
2025-09-24,Wednesday,3,7,Rainy,0,High,400,8,462
2025-07-26,Saturday,5,22,Sunny,0,Low,300,5,41
2025-11-03,Monday,2,12,Sunny,0,Low,450,9,278
2025-12-21,Sunday,2,20,Rainy,1,Medium,450,6,116
2025-09-17,Wednesday,2,10,Rainy,0,Medium,450,9,542
2025-12-26,Friday,4,13,Cloudy,0,Low,350,7,161
2025-04-12,Saturday,3,11,Cloudy,0,Low,400,8,130
2025-09-21,Sunday,1,18,Cloudy,0,High,500,7,445
2025-09-27,Saturday,3,19,Sunny,0,High,400,7,331
2025-10-08,Wednesday,2,7,Rainy,0,High,450,5,490
2025-10-26,Sunday,4,17,Sunny,0,High,350,7,290
2025-03-06,Thursday,5,14,Rainy,0,Low,300,4,199
2025-02-25,Tuesday,5,17,Rainy,0,High,300,3,422
2025-02-07,Friday,2,20,Sunny,0,Medium,450,5,251
2025-09-26,Friday,2,15,Cloudy,0,Low,450,5,247
2025-02-11,Tuesday,4,13,Rainy,0,Low,350,4,244
2025-07-20,Sunday,2,19,Cloudy,0,High,450,8,365
2025-01-25,Saturday,1,16,Sunny,0,Medium,500,10,458
2025-09-27,Saturday,1,18,Rainy,0,High,500,9,492
2025-11-07,Friday,3,10,Cloudy,0,Medium,400,7,192
2025-09-16,Tuesday,3,8,Sunny,0,High,400,8,412
2025-03-11,Tuesday,5,10,Cloudy,0,Medium,300,4,366
2025-06-10,Tuesday,5,15,Cloudy,0,Low,300,3,130
2025-01-13,Monday,3,17,Rainy,0,High,400,5,458
2025-01-17,Friday,2,18,Rainy,0,High,450,6,508
2025-01-30,Thursday,4,11,Sunny,0,Low,350,7,185
2025-01-10,Friday,4,13,Cloudy,0,Low,350,5,197
2025-12-18,Thursday,1,9,Rainy,0,High,500,8,523
2025-04-22,Tuesday,1,9,Rainy,0,High,500,8,510
2025-07-06,Sunday,3,13,Cloudy,0,Low,400,7,157
2025-11-07,Friday,2,21,Rainy,0,Low,450,7,267
2025-08-28,Thursday,5,7,Cloudy,0,High,300,3,310
2025-11-09,Sunday,1,11,Sunny,0,Low,500,10,209
2025-03-27,Thursday,5,11,Cloudy,0,Low,300,3,170
2025-02-04,Tuesday,4,10,Rainy,0,Medium,350,5,210
2025-08-26,Tuesday,2,16,Rainy,0,Medium,450,7,503
2025-10-22,Wednesday,3,9,Cloudy,0,High,400,6,420
2025-08-10,Sunday,1,6,Cloudy,0,Medium,500,7,400
2025-02-08,Saturday,1,18,Cloudy,0,High,500,8,689
2025-01-07,Tuesday,2,12,Sunny,0,Low,450,9,466
2025-11-01,Saturday,1,13,Rainy,0,Low,500,8,257
2025-10-01,Wednesday,1,18,Cloudy,0,High,500,7,524
2025-08-31,Sunday,3,9,Rainy,0,High,400,6,334
2025-05-11,Sunday,2,5,Sunny,0,Low,450,7,161
2025-05-15,Thursday,1,8,Cloudy,0,High,500,8,458
2025-05-26,Monday,4,5,Cloudy,0,Low,350,6,162
2025-06-23,Monday,3,17,Sunny,0,High,400,8,414
2025-05-05,Monday,1,21,Cloudy,0,Low,500,6,276
2025-06-11,Wednesday,4,20,Sunny,0,Medium,350,4,156
2025-10-13,Monday,2,17,Sunny,0,High,450,8,481
2025-11-18,Tuesday,4,13,Cloudy,0,Low,350,5,175
2025-09-25,Thursday,2,15,Cloudy,0,Low,450,5,260
2025-05-26,Monday,1,6,Sunny,0,Medium,500,9,505
2025-04-06,Sunday,5,20,Rainy,0,Medium,300,6,111
2025-01-01,Wednesday,1,7,Rainy,0,High,500,8,529
2025-10-05,Sunday,5,5,Rainy,0,Low,300,5,89
2025-05-06,Tuesday,1,20,Cloudy,0,Medium,500,7,329
2025-03-19,Wednesday,4,6,Rainy,0,Medium,350,5,394
2025-01-03,Friday,4,16,Sunny,0,Medium,350,6,379
2025-03-12,Wednesday,1,19,Sunny,1,High,500,8,415
2025-05-04,Sunday,4,18,Rainy,0,High,350,5,336
2025-03-21,Friday,2,11,Cloudy,0,Low,450,5,277
2025-03-07,Friday,2,8,Cloudy,0,High,450,9,450
2025-11-14,Friday,4,20,Cloudy,0,Medium,350,4,200
2025-10-06,Monday,5,19,Cloudy,0,High,300,4,368
2025-03-11,Tuesday,3,13,Sunny,0,Low,400,5,235
2025-06-30,Monday,3,14,Cloudy,0,Low,400,6,248
2025-06-27,Friday,2,20,Rainy,0,Medium,450,8,319
2025-03-22,Saturday,1,5,Sunny,0,Low,500,10,221
2025-07-28,Monday,3,18,Cloudy,1,High,400,5,345
2025-06-18,Wednesday,2,21,Cloudy,0,Low,450,5,253
2025-12-18,Thursday,5,16,Rainy,0,Medium,300,5,432
2025-07-28,Monday,5,17,Cloudy,0,High,300,6,368
2025-06-15,Sunday,5,5,Rainy,0,Low,300,6,107
2025-05-05,Monday,5,10,Cloudy,0,Medium,300,3,135
2025-11-10,Monday,5,16,Rainy,0,Medium,300,6,432
2025-12-23,Tuesday,3,16,Rainy,0,Medium,400,6,478
2025-03-13,Thursday,1,9,Rainy,0,High,500,6,534
2025-10-22,Wednesday,5,17,Cloudy,0,High,300,6,344
2025-08-27,Wednesday,5,13,Rainy,0,Low,300,3,219
2025-02-15,Saturday,2,20,Sunny,0,Medium,450,6,144
2025-01-23,Thursday,5,9,Rainy,0,High,300,4,366
2025-10-24,Friday,5,19,Sunny,0,High,300,6,386
2025-04-02,Wednesday,4,10,Sunny,0,Medium,350,5,192
2025-03-22,Saturday,2,12,Rainy,0,Low,450,5,213
2025-12-06,Saturday,5,8,Cloudy,0,High,300,4,261
2025-05-30,Friday,3,15,Rainy,0,Low,400,6,289
2025-02-25,Tuesday,2,17,Sunny,0,High,450,8,455
2025-01-13,Monday,4,16,Sunny,0,Medium,350,5,424
2025-06-19,Thursday,1,13,Rainy,0,Low,500,6,323
2025-05-20,Tuesday,3,11,Cloudy,0,Low,400,6,194
2025-02-19,Wednesday,3,20,Cloudy,0,Medium,400,6,244
2025-05-13,Tuesday,1,21,Sunny,0,Low,500,6,280
2025-11-10,Monday,1,16,Rainy,0,Medium,500,8,549
2025-05-29,Thursday,4,12,Sunny,0,Low,350,5,189
2025-08-08,Friday,5,13,Cloudy,0,Low,300,6,165
2025-07-10,Thursday,5,14,Sunny,0,Low,300,6,162
2025-02-20,Thursday,4,20,Cloudy,0,Medium,350,5,203
2025-06-17,Tuesday,1,16,Rainy,0,Medium,500,10,573
2025-01-26,Sunday,1,5,Rainy,0,Low,500,9,287
2025-11-10,Monday,5,18,Cloudy,0,High,300,3,396
2025-10-31,Friday,5,11,Rainy,0,Low,300,5,172
2025-05-30,Friday,1,8,Cloudy,0,High,500,7,470
2025-11-09,Sunday,3,5,Rainy,0,Low,400,6,175
2025-05-05,Monday,4,14,Cloudy,0,Low,350,5,195
2025-12-06,Saturday,3,9,Rainy,0,High,400,8,356
2025-02-21,Friday,5,19,Rainy,0,High,300,6,419
2025-09-22,Monday,1,13,Sunny,0,Low,500,8,270
2025-04-05,Saturday,3,16,Sunny,0,Medium,400,5,357
2025-05-19,Monday,2,5,Cloudy,0,Low,450,5,241
2025-01-09,Thursday,4,9,Rainy,0,High,350,4,427
2025-12-04,Thursday,5,8,Cloudy,0,High,300,6,352
2025-06-23,Monday,4,13,Rainy,0,Low,350,6,215
2025-03-21,Friday,2,18,Sunny,0,High,450,6,479
2025-09-30,Tuesday,5,18,Sunny,0,High,300,6,367
2025-02-16,Sunday,1,14,Cloudy,0,Low,500,7,230
2025-11-26,Wednesday,5,12,Sunny,0,Low,300,5,156
2025-03-31,Monday,4,14,Rainy,0,Low,350,6,228
2025-01-24,Friday,1,8,Cloudy,0,High,500,10,715
2025-06-10,Tuesday,1,21,Sunny,0,Low,500,9,318
2025-09-11,Thursday,1,15,Sunny,0,Low,500,7,276
2025-05-09,Friday,3,13,Cloudy,0,Low,400,7,194
2025-08-17,Sunday,1,17,Rainy,0,High,500,10,462
2025-11-23,Sunday,3,8,Sunny,0,High,400,6,342
2025-07-08,Tuesday,2,10,Sunny,0,Medium,450,7,234
2025-10-14,Tuesday,3,11,Cloudy,0,Low,400,8,236
2025-04-24,Thursday,2,8,Rainy,0,High,450,9,487
2025-04-04,Friday,4,11,Cloudy,0,Low,350,7,192
2025-01-20,Monday,2,15,Rainy,0,Low,450,9,303
2025-04-16,Wednesday,3,22,Sunny,0,Low,400,6,204
2025-12-13,Saturday,4,14,Rainy,0,Low,350,4,118
2025-01-25,Saturday,4,7,Sunny,0,High,350,5,258
2025-03-14,Friday,5,9,Rainy,0,High,300,5,387
2025-08-23,Saturday,1,19,Cloudy,0,High,500,7,435
2025-12-26,Friday,5,7,Rainy,0,High,300,3,356
2025-07-04,Friday,2,8,Rainy,0,High,450,7,471
2025-12-21,Sunday,5,13,Rainy,0,Low,300,4,132
2025-11-04,Tuesday,2,16,Cloudy,0,Medium,450,9,597
2025-06-08,Sunday,2,15,Rainy,0,Low,450,6,202
2025-09-06,Saturday,1,17,Cloudy,0,High,500,10,454
2025-09-02,Tuesday,4,17,Cloudy,0,High,350,7,422
2025-02-28,Friday,1,6,Sunny,0,Medium,500,6,454
2025-08-25,Monday,2,13,Sunny,0,Low,450,8,229
2025-03-11,Tuesday,4,22,Sunny,0,Low,350,6,410
2025-09-07,Sunday,5,20,Rainy,0,Medium,300,3,123
2025-11-04,Tuesday,4,10,Sunny,0,Medium,350,7,207
2025-04-17,Thursday,1,8,Sunny,0,High,500,8,466
2025-01-26,Sunday,2,20,Cloudy,0,Medium,450,6,149
2025-04-06,Sunday,4,17,Rainy,0,High,350,4,337
2025-11-12,Wednesday,1,17,Sunny,0,High,500,7,530
2025-06-02,Monday,4,10,Cloudy,0,Medium,350,5,190
2025-09-02,Tuesday,1,21,Cloudy,0,Low,500,7,317
2025-11-02,Sunday,1,9,Rainy,0,High,500,8,437
2025-08-24,Sunday,2,6,Sunny,0,Medium,450,5,354
2025-11-18,Tuesday,3,9,Rainy,0,High,400,8,424
2025-04-29,Tuesday,3,20,Sunny,0,Medium,400,8,332
2025-04-04,Friday,3,13,Sunny,0,Low,400,8,221
2025-01-21,Tuesday,1,17,Rainy,0,High,500,8,549
2025-03-10,Monday,5,5,Sunny,0,Low,300,5,130
2025-09-28,Sunday,5,19,Sunny,0,High,300,6,313
2025-12-13,Saturday,5,13,Sunny,0,Low,300,5,63
2025-08-16,Saturday,5,10,Sunny,0,Medium,300,5,69
2025-03-07,Friday,1,18,Sunny,0,High,500,7,530
2025-05-10,Saturday,3,21,Sunny,1,Low,400,8,27
2025-11-11,Tuesday,4,8,Sunny,0,High,350,4,374
2025-07-30,Wednesday,3,10,Rainy,0,Medium,400,6,275
2025-01-22,Wednesday,3,9,Sunny,0,High,400,6,411
2025-04-25,Friday,2,6,Cloudy,0,Medium,450,8,439
2025-07-26,Saturday,1,11,Sunny,0,Low,500,7,201
2025-07-14,Monday,5,8,Sunny,0,High,300,4,318
2025-04-30,Wednesday,5,5,Cloudy,0,Low,300,3,134
2025-03-18,Tuesday,1,14,Rainy,0,Low,500,7,329
2025-09-25,Thursday,1,13,Cloudy,0,Low,500,7,326
2025-02-14,Friday,5,17,Sunny,0,High,300,3,381
2025-09-18,Thursday,2,7,Cloudy,0,High,450,9,445
2025-06-30,Monday,3,5,Rainy,0,Low,400,7,254
2025-03-14,Friday,1,20,Sunny,0,Medium,500,6,279
2025-11-15,Saturday,4,18,Cloudy,0,High,350,4,308
2025-08-16,Saturday,3,9,Sunny,0,High,400,5,302
2025-12-04,Thursday,2,17,Cloudy,0,High,450,9,487
2025-11-01,Saturday,4,9,Rainy,0,High,350,6,329
